b'1286',From: Zalando Team <info@service-mail.zalando.de> Subject: ,Zalando Team <info@service-mail.zalando.de>,0
b'1287',"From: ""AKAD Studienberatung"" <Studienberatung@email.akad.de> Subject: ","""AKAD Studienberatung"" <Studienberatung@email.akad.de>",0
b'1288',"From: ""AKAD Studienberatung"" <Studienberatung@email.akad.de> Subject: ","""AKAD Studienberatung"" <Studienberatung@email.akad.de>",0
b'1289',"From: Amazon Music <no-reply@amazon.de>
Subject: Giorgio Dettmar: Du hast einen ungenutzten Prime-Vorteil

",Amazon Music <no-reply@amazon.de>,0
b'1290',From: Netflix <info@members.netflix.com> Subject: ,Netflix <info@members.netflix.com>,0
b'1291',From: Zalando Team <info@service-mail.zalando.de> Subject: ,Zalando Team <info@service-mail.zalando.de>,0
b'1292',"From: Giorgio Dettmar <giorgio.dettmar@gmx.de>
Subject: eta

",Giorgio Dettmar <giorgio.dettmar@gmx.de>,0
b'1293',From: LinkedIn <notifications-noreply@linkedin.com> Subject: ,LinkedIn <notifications-noreply@linkedin.com>,1
b'1294',"From: ""Lieferando"" <no-reply@connect.lieferando.de> Subject: ","""Lieferando"" <no-reply@connect.lieferando.de>",0
b'1295',"From: ""Coursera"" <Coursera@m.learn.coursera.org>
Subject: Enroll today: Machine Learning with DeepLearning.AI

","""Coursera"" <Coursera@m.learn.coursera.org>",0
b'1296',"From: ""Lieferando"" <no-reply@connect.lieferando.de> Subject: ","""Lieferando"" <no-reply@connect.lieferando.de>",0
b'1297',"From: ""Coursera"" <Coursera@m.learn.coursera.org>
Subject: Still thinking about Coursera Plus?

","""Coursera"" <Coursera@m.learn.coursera.org>",0
b'1298',"From: ""AKAD Studienberatung"" <Studienberatung@email.akad.de> Subject: ","""AKAD Studienberatung"" <Studienberatung@email.akad.de>",0
b'1299',"From: purchase-noreply@twitch.tv
Subject: Erstattungsbeleg

",purchase-noreply@twitch.tv,0
b'1300',"Subject: Computacenter AG & Co. oHG und 4 andere Firmen suchen Kandidaten wie Dich
From: ""Lisa Stein von Stepstone"" <info@jobagent.stepstone.de>

","""Lisa Stein von Stepstone"" <info@jobagent.stepstone.de>",0
b'1301',"From: Amazon@riverty.com
Subject: Offene Forderung der Amazon Digital Germany GmbH - AZ:
 S.24.7143129.01.1

",Amazon@riverty.com,0
b'1302',From: XING News Job & Karriere <mailrobot@mail.xing.com> Subject: ,XING News Job & Karriere <mailrobot@mail.xing.com>,0
b'1303',"From: Tester Emails <tester-emails@utest.com>
Subject: uTest - Test Cycle 471064 invitation (MedUX - Passive Internet
 Speed Testing - Recruitment Cycle - Germany)

",Tester Emails <tester-emails@utest.com>,0
b'1304',From: Netflix <info@members.netflix.com> Subject: ,Netflix <info@members.netflix.com>,0
b'1305',"Subject: IT-Administrator User Helpdesk (m/w/d) - direkte Personalvermittlung bei Maximum Personalmanagement GmbH
From: ""Indeed"" <invitationtoapply@match.indeed.com>

","""Indeed"" <invitationtoapply@match.indeed.com>",0
b'1306',From: Grover <rechnungen@grover.com> Subject: Deine Rechnung ,Grover <rechnungen@grover.com>,0
b'1307',"From: ""AKAD Studienberatung"" <Studienberatung@email.akad.de>
Subject: Jetzt durchstarten, ohne auf das Semester zu warten!

","""AKAD Studienberatung"" <Studienberatung@email.akad.de>",0
b'1308',From: LinkedIn <notifications-noreply@linkedin.com> Subject: ,LinkedIn <notifications-noreply@linkedin.com>,1
b'1309',"From: ""Coursera"" <Coursera@m.learn.coursera.org>
Subject: Empfohlen: Deep Learning

","""Coursera"" <Coursera@m.learn.coursera.org>",0
b'1310',"From: Fernschulen@riverty.com
Subject: Inkassoverfahren - KdNr: 800291732 AZ: S.24.6349568.01.1

",Fernschulen@riverty.com,0
b'1311',"Subject: Willkommen bei Coursera Plus
From: ""Coursera"" <no-reply@t.mail.coursera.org>

","""Coursera"" <no-reply@t.mail.coursera.org>",0
b'1312',"Subject: Willkommen zu Machine Learning Specialization
From: ""Coursera"" <no-reply@t.mail.coursera.org>

","""Coursera"" <no-reply@t.mail.coursera.org>",0
b'1313',"From: Amazon Web Services <aws-marketing-email-replies@amazon.com>
Subject: AWS re:Invent re:Cap 2025 - Jetzt anmelden

",Amazon Web Services <aws-marketing-email-replies@amazon.com>,0
b'1314',"From: Microsoft <microsoft-noreply@microsoft.com>
Subject: Wichtiges Update zu Ihrem Abonnement \""PC Game Pass\""

",Microsoft <microsoft-noreply@microsoft.com>,0
b'1315',From: Netflix <info@members.netflix.com> Subject: ,Netflix <info@members.netflix.com>,0
b'1316',Subject: ,"""Revolut"" <no-reply@revolut.com>",0
b'1317',From: LinkedIn Jobbenachrichtigungen <jobalerts-noreply@linkedin.com> Subject: ,LinkedIn Jobbenachrichtigungen <jobalerts-noreply@linkedin.com>,1
